"","6","13","14","15","16"
"2006",79.5065190484082,80.3637835664805,79.4812665983565,79.6047481526465,80.2073802473378
"2011",80.4337717797557,81.2268546204235,80.5521025861308,80.2011628547106,81.0091122160555
"2014",81.0082139254372,81.6507737100422,81.0294242185219,80.6022017259718,81.4434580877072
