63,1998,16,11
69,2006,6,70
52,2004,16,6
75,1999,16,24
111,2001,6,1
54,2006,13,4
38,1998,14,3
45,2009,16,3
59,2001,16,19
77,2010,16,40
91,2013,15,16
99,2005,6,18
37,2000,15,2
36,2000,6,9
90,2002,15,7
68,2007,13,13
32,2004,15,1
94,2001,13,5
89,2008,6,120
64,2012,14,7
101,2012,6,12
35,2003,14,1
72,2013,6,71
44,2004,6,13
20,2006,6,2
34,2011,6,2
92,2003,14,2
96,2006,6,37
58,2009,15,3
40,2013,14,2
108,2010,6,1
60,2008,13,6
75,2004,6,96
87,2004,14,8
53,2009,6,20
69,2001,13,13
51,1998,6,14
93,2011,14,5
91,2013,16,31
91,2005,15,7
79,2007,14,12
67,2014,15,7
90,2014,13,14
21,2000,16,1
74,2010,6,79
51,2012,15,5
89,2014,14,18
47,2012,6,17
67,2014,16,34
86,2012,13,24
43,2002,16,3
55,1998,14,4
24,1999,13,1
82,2014,15,19
102,2000,6,7
93,1999,14,3
100,2014,13,3
35,2000,14,1
68,1998,6,78
40,2013,16,4
61,2000,13,9
91,2012,13,19
87,2004,15,13
100,2003,15,1
93,2002,6,69
49,2014,15,2
86,2013,15,20
18,2012,6,1
57,2013,6,39
31,2009,14,1
90,2007,14,4
59,2006,16,15
68,2009,6,45
57,2001,13,6
78,2003,14,5
64,1998,15,3
69,1998,16,29
85,2001,15,7
54,2005,15,7
85,2001,13,16
44,2005,14,2
103,2004,6,6
49,2010,15,5
44,2003,13,3
94,2014,16,27
47,2013,15,2
17,2009,6,2
1,1998,6,2
55,1998,6,29
53,2002,6,28
58,2000,15,6
0,2010,14,1
46,2008,15,6
86,2013,13,22
56,2014,13,3
48,2011,6,17
99,2006,6,25
14,2003,16,1
54,2005,16,18
,,14,0
81,2014,15,18
29,2004,16,3
44,2005,6,13
93,2013,13,9
47,2008,6,23
10,2003,15,1
71,2008,14,8
56,2005,15,7
81,2009,14,11
52,2009,6,30
67,2002,13,10
26,2002,6,4
28,2008,6,2
92,2011,15,10
39,2003,6,13
63,2006,14,4
93,2013,15,4
82,2010,14,8
44,2008,6,11
84,2011,15,12
53,2001,14,1
62,2002,15,5
98,2006,13,3
32,2009,6,3
72,2000,6,74
42,1999,16,6
44,2000,6,19
83,2002,6,122
56,2001,6,41
62,2013,13,8
68,2008,16,16
41,2011,14,2
66,2014,16,23
15,2013,6,1
85,2012,15,15
26,2000,6,5
59,1999,6,36
93,2012,15,5
74,2009,14,5
88,2011,13,22
79,2002,16,25
54,2004,14,2
83,2001,14,5
88,2014,15,11
94,2000,15,4
51,2012,16,7
94,2010,14,2
50,2011,6,23
33,1999,15,1
65,2011,15,7
69,2006,15,14
22,2005,6,1
90,2000,13,7
78,2014,14,8
34,2005,6,3
52,2011,14,7
67,2013,13,9
39,2001,16,2
91,2007,13,10
65,2002,15,4
37,2005,16,1
56,2000,13,5
0,2000,6,5
4,2008,6,1
3,2010,14,1
83,2007,13,19
43,2003,13,2
88,2003,6,105
91,2004,15,2
0,2005,6,4
96,2006,16,10
100,2003,16,2
73,2008,13,16
24,2003,16,1
92,2006,14,1
40,2006,15,6
98,2004,15,1
105,1999,6,1
87,2004,16,36
28,2011,15,2
44,1999,16,3
81,2006,16,38
84,2011,14,6
63,2003,16,10
65,2014,15,12
37,1998,13,1
74,2014,13,14
54,2003,16,13
0,2002,14,1
37,2002,16,2
72,2000,16,32
0,2013,14,2
41,2014,15,1
63,1999,13,11
84,2009,15,19
89,2007,13,10
95,2010,6,56
41,1998,14,1
48,2010,6,7
67,2009,14,6
51,2002,6,26
51,2000,13,4
50,2010,13,3
44,2014,16,3
100,2002,13,2
70,1999,16,36
71,2007,13,11
47,2009,6,16
45,2011,14,1
16,1998,14,1
68,2013,15,7
30,2012,13,1
41,2004,13,2
72,2001,14,5
88,2013,6,128
65,2002,6,67
76,2002,16,30
32,2006,6,1
47,2008,14,1
29,2012,6,3
67,2012,15,9
78,2006,6,113
73,2010,16,22
45,2008,15,1
52,2003,6,17
29,1999,6,9
37,2001,6,11
97,2013,6,41
91,2008,14,4
86,2014,16,42
8,2000,6,1
55,2000,6,31
45,1998,15,3
95,1999,15,5
32,2005,16,3
72,2007,16,27
73,2000,15,9
90,2007,13,17
62,2003,14,5
53,2009,15,5
16,2013,16,1
84,2001,14,4
88,1998,15,10
56,1998,13,4
84,2006,13,25
72,1999,15,10
90,2000,14,4
2,1999,6,1
33,1998,16,3
87,2002,6,140
67,2013,16,27
46,1998,6,14
69,1999,6,82
40,2006,6,12
103,2014,6,5
84,2003,6,117
33,2009,16,1
50,2009,16,10
40,1999,6,7
82,2002,13,25
18,1998,14,1
82,1998,13,19
98,2008,13,1
0,1998,16,6
92,2007,14,2
96,2003,15,5
27,2013,16,1
80,2005,16,31
69,2009,6,51
74,2004,13,12
57,2007,6,23
101,2011,6,12
98,2012,16,7
30,2011,13,1
92,2012,6,98
49,2000,13,2
48,2007,15,2
0,2002,6,12
70,2010,16,20
71,2005,14,8
50,2008,14,2
66,2009,14,14
66,2009,13,8
71,2012,15,13
24,2000,6,3
83,2002,16,25
41,2003,16,2
89,2006,16,22
66,2005,13,6
88,2014,14,6
0,2009,16,3
3,1999,6,1
46,2007,13,2
67,2009,13,13
71,2014,14,6
85,2009,15,21
96,2009,6,34
46,2012,16,2
68,2000,14,7
52,2014,16,4
40,2002,14,1
55,2006,6,28
46,2013,15,3
97,2011,6,42
97,1998,13,1
65,2014,16,25
101,2009,16,3
54,2011,6,27
92,2002,14,3
102,2001,16,1
13,1998,6,1
103,2002,6,1
49,2008,14,4
79,2013,15,17
19,2003,15,1
77,2005,15,8
51,2000,6,22
33,2005,14,1
19,2000,6,1
48,2000,6,23
36,2000,15,1
52,1999,6,28
96,2012,15,6
49,2013,13,4
51,2007,14,1
21,2011,16,1
68,2006,15,12
57,2000,6,38
34,2007,14,1
60,2009,15,9
32,2013,16,2
42,2004,6,14
79,2002,14,8
51,2007,6,17
79,1999,15,11
65,2008,16,16
45,2009,13,2
89,1998,13,9
81,2003,14,5
97,2014,14,2
66,2002,16,18
86,1999,16,24
48,2013,14,3
60,2012,6,34
72,2006,16,25
54,2013,6,26
52,2010,16,8
47,2010,14,3
46,2004,14,1
7,2003,6,2
26,2004,15,1
98,2008,15,1
64,2005,15,6
72,2007,14,5
26,2007,15,1
88,2008,6,132
97,2006,15,1
72,2008,13,10
55,2000,15,6
53,2005,16,11
82,2006,13,24
54,2014,15,7
89,1998,15,7
57,2004,16,15
90,2008,15,11
91,2010,15,7
3,2003,6,1
47,2007,13,2
85,2011,15,15
